cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,1.5,0.0,0.0,0.0,0.0,0.0,0,1
blue,1.5,3.75,0.0,0.0,0.0,0.0,0,1
blue,1.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,11.25,0.0,0.0,0.0,0.0,0,1
blue,1.5,15.0,0.0,0.0,0.0,0.0,0,1
blue,1.5,18.75,0.0,0.0,0.0,0.0,0,1
blue,1.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,26.25,0.0,0.0,0.0,0.0,0,1
blue,1.5,30.0,0.0,0.0,0.0,0.0,0,1
blue,0.29422863405994804,34.5,0.0,0.0,0.0,0.0,0,1
blue,-2.999999999999999,37.79422863405995,0.0,0.0,0.0,0.0,0,1
blue,-7.499999999999999,39.0,0.0,0.0,0.0,0.0,0,1
blue,-11.999999999999998,37.79422863405995,0.0,0.0,0.0,0.0,0,1
blue,-15.294228634059946,34.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,30.0,0.0,0.0,0.0,0.0,0,1
blue,-16.5,26.25,0.0,0.0,0.0,0.0,0,1
blue,-16.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,18.75,0.0,0.0,0.0,0.0,0,1
blue,-16.5,15.0,0.0,0.0,0.0,0.0,0,1
blue,-16.5,11.25,0.0,0.0,0.0,0.0,0,1
blue,-16.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,-16.5,3.75,0.0,0.0,0.0,0.0,0,1
blue,-16.5,0.0,0.0,0.0,0.0,0.0,0,1
yellow,-1.5,0.0,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,3.75,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,11.25,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,15.0,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,18.75,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,26.25,0.0,0.0,0.0,0.0,1,0
yellow,-1.5,30.0,0.0,0.0,0.0,0.0,1,0
yellow,-2.303847577293368,33.0,0.0,0.0,0.0,0.0,1,0
yellow,-4.499999999999999,35.19615242270663,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,36.0,0.0,0.0,0.0,0.0,1,0
yellow,-10.5,35.19615242270663,0.0,0.0,0.0,0.0,1,0
yellow,-12.696152422706632,33.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,30.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,26.25,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,18.75,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,15.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,11.25,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,3.75,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,0.0,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,4.75,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,5.25,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,4.75,0.0,0.0,0.0,0.0,0,1
big_orange,-1.5,5.25,0.0,0.0,0.0,0.0,0,1
