cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,-2.25,10.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,15.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,20.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,25.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,30.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,35.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,40.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,45.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,0.0,0.0,0.0,0.0,0,1,0
blue,-2.25,55.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,60.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,0.0,0.0,0.0,0.0,0,1,0
blue,-2.25,70.0,0.0,0.0,0.0,0.0,0,1
blue,-2.25,75.0,0.0,0.0,0.0,0.0,0,1
yellow,2.25,10.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,15.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,20.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,25.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,30.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,35.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,40.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,45.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,0.0,0.0,0.0,0.0,1,0,0
yellow,2.25,55.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,60.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,0.0,0.0,0.0,0.0,1,0,0
yellow,2.25,70.0,0.0,0.0,0.0,0.0,1,0
yellow,2.25,75.0,0.0,0.0,0.0,0.0,1,0
big_orange,-2.25,4.439077150000003,0.0,0.0,0.0,0.0,0,1
big_orange,2.25,4.439077150000003,0.0,0.0,0.0,0.0,1,0
big_orange,2.25,5.73907715,0.0,0.0,0.0,0.0,1,0
big_orange,-2.25,5.73907715,0.0,0.0,0.0,0.0,0,1
big_orange,-2.25,79.43907227,0.0,0.0,0.0,0.0,0,1
big_orange,2.25,79.43907227,0.0,0.0,0.0,0.0,1,0
big_orange,2.25,80.73907227,0.0,0.0,0.0,0.0,1,0
big_orange,-2.25,80.73907227,0.0,0.0,0.0,0.0,0,1
small_orange,2.25,85.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,90.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,95.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,100.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,105.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,110.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,115.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,120.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,125.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,130.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,135.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,140.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,145.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,150.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,155.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,160.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,165.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,170.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,175.0,0.0,0.0,0.0,0.0,1,0
small_orange,2.25,180.0,0.0,0.0,0.0,0.0,1,0
small_orange,-2.25,85.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,90.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,95.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,100.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,105.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,110.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,115.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,120.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,125.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,130.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,135.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,140.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,145.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,150.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,155.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,160.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,165.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,170.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,175.0,0.0,0.0,0.0,0.0,0,1
small_orange,-2.25,180.0,0.0,0.0,0.0,0.0,0,1
small_orange,0.5800000000000093,180.0,0.0,0.0,0.0,0.0,1,0
small_orange,-0.5799999999999873,180.0,0.0,0.0,0.0,0.0,0,1
