# x,y,right_width,left_width
0.000000000000000000e+00,-1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,-3.333333333333332593e-01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,8.333333333333334814e-01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,3.166666666666666963e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,4.333333333333333925e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,6.666666666666667851e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,7.833333333333333925e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.393398282201788074e-01,1.006066017177982097e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.500000000000000000e+00,1.050000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.500000000000000000e+00,1.050000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.560660171779821415e+00,1.093933982822017903e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.200000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.200000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.300000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.400000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.600000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.700000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.800000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,1.900000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,2.100000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.000000000000000000e+00,2.100000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.819077862357725284e+00,2.202606042997700797e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.298133329356934151e+00,2.292836282905961909e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.500000000000000444e+00,2.359807621135331601e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.209445330007912434e-01,2.395442325903662351e+01,1.500000000000000000e+00,1.500000000000000000e+00
-5.209445330007909103e-01,2.395442325903662351e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.499999999999999334e+00,2.359807621135331601e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.298133329356933707e+00,2.292836282905961909e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.819077862357724840e+00,2.202606042997700797e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.000000000000000000e+00,2.100000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.000000000000000000e+00,2.100000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.000000000000000000e+00,1.950000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.000000000000000000e+00,1.800000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.000000000000000000e+00,1.800000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.112824395181793768e+00,1.699865579719658371e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.445640094439113454e+00,1.604752317397098693e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.981758328893866050e+00,1.519429589163569894e+01,1.500000000000000000e+00,1.500000000000000000e+00
-4.694295891635698936e+00,1.448175832889386605e+01,1.500000000000000000e+00,1.500000000000000000e+00
-5.547523173970988708e+00,1.394564009443911345e+01,1.500000000000000000e+00,1.500000000000000000e+00
-6.498655797196585482e+00,1.361282439518179288e+01,1.500000000000000000e+00,1.500000000000000000e+00
-7.500000000000000000e+00,1.350000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-7.500000000000000000e+00,1.350000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.501344202803414518e+00,1.338717560481820712e+01,1.500000000000000000e+00,1.500000000000000000e+00
