cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,5.058988531120922,24.81622003293242,0.0,0.0,0.0,0.0,0,1
blue,8.430091751929732,25.60225105941016,0.0,0.0,0.0,0.0,0,1
blue,11.874952354214285,25.26296190432135,0.0,0.0,0.0,0.0,0,1
blue,15.027933725833275,23.834364630714543,0.0,0.0,0.0,0.0,0,1
blue,17.554379240594375,21.468090183217654,0.0,0.0,0.0,0.0,0,1
blue,19.1861326258855,18.41529431884609,0.0,0.0,0.0,0.0,0,1
blue,19.75,15.0,0.0,0.0,0.0,0.0,0,1
blue,19.1861326258855,11.584705681153908,0.0,0.0,0.0,0.0,0,1
blue,17.554379240594372,8.531909816782342,0.0,0.0,0.0,0.0,0,1
blue,15.027933725833272,6.1656353692854555,0.0,0.0,0.0,0.0,0,1
blue,11.87495235421428,4.737038095678649,0.0,0.0,0.0,0.0,0,1
blue,8.430091751929726,4.397748940589839,0.0,0.0,0.0,0.0,0,1
blue,5.058988531120922,5.183779967067579,0.0,0.0,0.0,0.0,0,1
blue,-1.5,15.0,0.0,0.0,0.0,0.0,0,1
blue,-2.0804185646014384,17.91796117178381,0.0,0.0,0.0,0.0,0,1
blue,-3.733310793452575,20.391689206547426,0.0,0.0,0.0,0.0,0,1
blue,-6.20703882821619,22.044581435398563,0.0,0.0,0.0,0.0,0,1
blue,-9.125,22.625,0.0,0.0,0.0,0.0,0,1
blue,-12.042961171783809,22.044581435398563,0.0,0.0,0.0,0.0,0,1
blue,-14.516689206547424,20.391689206547426,0.0,0.0,0.0,0.0,0,1
blue,-16.169581435398563,17.91796117178381,0.0,0.0,0.0,0.0,0,1
blue,-16.75,15.000000000000002,0.0,0.0,0.0,0.0,0,1
blue,-16.169581435398563,12.082038828216191,0.0,0.0,0.0,0.0,0,1
blue,-14.516689206547426,9.608310793452576,0.0,0.0,0.0,0.0,0,1
blue,-12.042961171783814,7.95541856460144,0.0,0.0,0.0,0.0,0,1
blue,-9.125000000000002,7.375,0.0,0.0,0.0,0.0,0,1
blue,-6.207038828216189,7.955418564601439,0.0,0.0,0.0,0.0,0,1
blue,-3.733310793452577,9.608310793452574,0.0,0.0,0.0,0.0,0,1
blue,-2.08041856460144,12.082038828216186,0.0,0.0,0.0,0.0,0,1
yellow,1.5,15.000000000000002,0.0,0.0,0.0,0.0,1,0
yellow,2.0804185646014384,17.91796117178381,0.0,0.0,0.0,0.0,1,0
yellow,3.733310793452576,20.391689206547426,0.0,0.0,0.0,0.0,1,0
yellow,6.2070388282161915,22.044581435398563,0.0,0.0,0.0,0.0,1,0
yellow,9.125,22.625,0.0,0.0,0.0,0.0,1,0
yellow,12.04296117178381,22.044581435398563,0.0,0.0,0.0,0.0,1,0
yellow,14.516689206547426,20.391689206547426,0.0,0.0,0.0,0.0,1,0
yellow,16.169581435398563,17.91796117178381,0.0,0.0,0.0,0.0,1,0
yellow,16.75,15.0,0.0,0.0,0.0,0.0,1,0
yellow,16.169581435398563,12.082038828216191,0.0,0.0,0.0,0.0,1,0
yellow,14.516689206547426,9.608310793452576,0.0,0.0,0.0,0.0,1,0
yellow,12.042961171783812,7.95541856460144,0.0,0.0,0.0,0.0,1,0
yellow,9.125,7.375,0.0,0.0,0.0,0.0,1,0
yellow,6.207038828216188,7.955418564601439,0.0,0.0,0.0,0.0,1,0
yellow,3.733310793452576,9.608310793452574,0.0,0.0,0.0,0.0,1,0
yellow,2.08041856460144,12.082038828216186,0.0,0.0,0.0,0.0,1,0
yellow,-5.058988531120921,24.81622003293242,0.0,0.0,0.0,0.0,1,0
yellow,-8.43009175192973,25.60225105941016,0.0,0.0,0.0,0.0,1,0
yellow,-11.874952354214283,25.26296190432135,0.0,0.0,0.0,0.0,1,0
yellow,-15.027933725833272,23.834364630714546,0.0,0.0,0.0,0.0,1,0
yellow,-17.554379240594372,21.468090183217658,0.0,0.0,0.0,0.0,1,0
yellow,-19.1861326258855,18.415294318846094,0.0,0.0,0.0,0.0,1,0
yellow,-19.75,15.000000000000002,0.0,0.0,0.0,0.0,1,0
yellow,-19.1861326258855,11.58470568115391,0.0,0.0,0.0,0.0,1,0
yellow,-17.554379240594372,8.531909816782342,0.0,0.0,0.0,0.0,1,0
yellow,-15.027933725833273,6.165635369285457,0.0,0.0,0.0,0.0,1,0
yellow,-11.874952354214281,4.737038095678649,0.0,0.0,0.0,0.0,1,0
yellow,-8.430091751929728,4.397748940589839,0.0,0.0,0.0,0.0,1,0
yellow,-5.058988531120919,5.183779967067579,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,15.5,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,15.5,0.0,0.0,0.0,0.0,0,1
big_orange,1.5,14.5,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,14.5,0.0,0.0,0.0,0.0,0,1
small_orange,1.5,4.0,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,0.0,0.0,0.0,0.0,0.0,1,0
small_orange,-1.5,4.0,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,0.0,0.0,0.0,0.0,0.0,0,1
