# x,y,right_width,left_width
-2.587998099888283576e+01,-3.527690691192327677e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.438137409961132818e+01,-3.422084971376608564e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.261580243539162893e+01,-3.354521927164871897e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.065147493749496732e+01,-3.315404420805795382e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.855660053719261882e+01,-3.295135314548059569e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.639938816575581271e+01,-3.284117470640335057e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.424804675445581026e+01,-3.272753751331293870e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.217078523456386563e+01,-3.251447018869617978e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.023581253735122587e+01,-3.210600135503979402e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.511337594089145142e+00,-3.140615963483054429e+01,1.500000000000000000e+00,1.500000000000000000e+00
-7.064700003423599384e+00,-3.032037385920645534e+01,1.500000000000000000e+00,1.500000000000000000e+00
-5.912373149724906796e+00,-2.883600158395526591e+01,1.500000000000000000e+00,1.500000000000000000e+00
-4.992722824593105457e+00,-2.706620598166279024e+01,1.500000000000000000e+00,1.500000000000000000e+00
-4.237481067832291615e+00,-2.513483501504570938e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.580153289348835699e+00,-2.316232723001138538e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.987619577082629263e+00,-2.120495623129340856e+01,1.500000000000000000e+00,1.500000000000000000e+00
-2.456471977984357125e+00,-1.926187249272452107e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.984340260688174595e+00,-1.733023140220105063e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.568854193828261856e+00,-1.540718834761932499e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.207643546038809745e+00,-1.348989871687567188e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.983380859539913388e-01,-1.157551789786636220e+01,1.500000000000000000e+00,1.500000000000000000e+00
-6.385675822079761588e-01,-9.661201278487780542e+00,1.500000000000000000e+00,1.500000000000000000e+00
-4.259618034349585969e-01,-7.744104246636197786e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.581505182691046230e-01,-5.821382190207970098e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.327634953446121813e-01,-3.890190497099354161e+00,1.500000000000000000e+00,1.500000000000000000e+00
-4.743050329565079437e-02,-1.947684555206720347e+00,1.500000000000000000e+00,1.500000000000000000e+00
2.186892436029097553e-04,8.980247573646238379e-03,1.500000000000000000e+00,1.500000000000000000e+00
1.341658273583590244e-02,1.982244242939067647e+00,1.500000000000000000e+00,1.500000000000000000e+00
6.206633753663481912e-03,3.969478976352256439e+00,1.500000000000000000e+00,1.500000000000000000e+00
7.105427357601001859e-15,5.964601599262010723e+00,1.500000000000000000e+00,1.500000000000000000e+00
1.634955676897931198e-02,7.961462817913940171e+00,1.500000000000000000e+00,1.500000000000000000e+00
7.680817935465000801e-02,9.953913338553647350e+00,1.500000000000000000e+00,1.500000000000000000e+00
2.029287430511246271e-01,1.193580386742674904e+01,1.500000000000000000e+00,1.500000000000000000e+00
4.162641231524801810e-01,1.390098511077886911e+01,1.500000000000000000e+00,1.500000000000000000e+00
7.383671949528292089e-01,1.584330777485559594e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.190790833746241617e+00,1.775662256590256050e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.795087914826822839e+00,1.963478019016537246e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.572811313488635676e+00,2.147163135388964150e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.545513905025792667e+00,2.326102676332098440e+01,1.500000000000000000e+00,1.500000000000000000e+00
4.734583065414803116e+00,2.499659471423339241e+01,1.500000000000000000e+00,1.500000000000000000e+00
6.139868983500115007e+00,2.664302020512606362e+01,1.500000000000000000e+00,1.500000000000000000e+00
7.718554609413381229e+00,2.810764877942506601e+01,1.500000000000000000e+00,1.500000000000000000e+00
9.422801567414580859e+00,2.929107794393845765e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.120477148176372140e+01,3.009390520547426817e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.301662597672078903e+01,3.041672807084055918e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.481367335636247873e+01,3.017716989680778994e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.658004972559719192e+01,2.944883362507445668e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.831536779377055524e+01,2.838906199942434228e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.001938833556824449e+01,2.715599890592839927e+01,1.500000000000000000e+00,1.500000000000000000e+00
