cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,0.5,-12.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,-7.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,-2.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,2.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,12.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,17.5,0.0,0.0,0.0,0.0,0,1
blue,0.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,2.5,27.5,0.0,0.0,0.0,0.0,0,1
blue,0.7811529493745271,32.79006727063226,0.0,0.0,0.0,0.0,0,1
blue,-3.718847050625473,36.05950864665638,0.0,0.0,0.0,0.0,0,1
blue,-9.281152949374526,36.05950864665638,0.0,0.0,0.0,0.0,0,1
blue,-13.781152949374526,32.79006727063226,0.0,0.0,0.0,0.0,0,1
blue,-15.5,27.5,0.0,0.0,0.0,0.0,0,1
blue,-15.5,27.5,0.0,0.0,0.0,0.0,0,1
blue,-15.5,21.07142857142857,0.0,0.0,0.0,0.0,0,1
blue,-15.5,14.642857142857146,0.0,0.0,0.0,0.0,0,1
blue,-15.5,8.214285714285715,0.0,0.0,0.0,0.0,0,1
blue,-15.5,1.7857142857142847,0.0,0.0,0.0,0.0,0,1
blue,-15.5,-4.642857142857142,0.0,0.0,0.0,0.0,0,1
blue,-15.5,-11.071428571428571,0.0,0.0,0.0,0.0,0,1
blue,-15.5,-17.5,0.0,0.0,0.0,0.0,0,1
blue,-12.5,-12.5,0.0,0.0,0.0,0.0,0,1
blue,-11.354101966249683,-8.97328848624516,0.0,0.0,0.0,0.0,0,1
blue,-8.354101966249685,-6.793660902229078,0.0,0.0,0.0,0.0,0,1
blue,-4.645898033750315,-6.793660902229079,0.0,0.0,0.0,0.0,0,1
blue,-1.6458980337503153,-8.973288486245162,0.0,0.0,0.0,0.0,0,1
blue,-0.5,-12.5,0.0,0.0,0.0,0.0,0,1
yellow,-0.5,-12.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,-7.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,-2.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,2.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,12.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,17.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,27.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.6458980337503153,31.02671151375484,0.0,0.0,0.0,0.0,1,0
yellow,-4.645898033750315,33.20633909777092,0.0,0.0,0.0,0.0,1,0
yellow,-8.354101966249685,33.20633909777092,0.0,0.0,0.0,0.0,1,0
yellow,-11.354101966249683,31.02671151375484,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,27.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,27.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,21.07142857142857,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,14.642857142857146,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,8.214285714285715,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,1.7857142857142847,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,-4.642857142857142,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,-11.071428571428571,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,-17.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,-12.5,0.0,0.0,0.0,0.0,1,0
yellow,-11.354101966249683,-8.97328848624516,0.0,0.0,0.0,0.0,1,0
yellow,-8.354101966249685,-6.793660902229078,0.0,0.0,0.0,0.0,1,0
yellow,-4.645898033750315,-6.793660902229079,0.0,0.0,0.0,0.0,1,0
yellow,-1.6458980337503153,-8.973288486245162,0.0,0.0,0.0,0.0,1,0
yellow,-0.5,-12.5,0.0,0.0,0.0,0.0,1,0
