cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,-1.8502148000000027,9.209750999999997,0.0,0.0,0.0,0.0,0,1
blue,-1.4055859000000046,13.430595720000007,0.0,0.0,0.0,0.0,0,1
blue,-0.6943505500000089,17.438212910000004,0.0,0.0,0.0,0.0,0,1
blue,0.053686559999989815,21.373808610000005,0.0,0.0,0.0,0.0,0,1
blue,0.7485889099999825,25.27741701,0.0,0.0,0.0,0.0,0,1
blue,1.2533349999999945,29.10405275,0.0,0.0,0.0,0.0,0,1
blue,1.0741260199999962,32.539497090000005,0.0,0.0,0.0,0.0,0,1
blue,0.08113772999999691,36.22165529000001,0.0,0.0,0.0,0.0,0,1
blue,-1.2056054300000032,39.95687014,0.0,0.0,0.0,0.0,0,1
blue,-2.642744099999999,43.63134279000001,0.0,0.0,0.0,0.0,0,1
blue,-4.2140966400000055,47.267954120000006,0.0,0.0,0.0,0.0,0,1
blue,-5.912802700000011,50.793803730000015,0.0,0.0,0.0,0.0,0,1
blue,-7.811831019999996,54.02299318000001,0.0,0.0,0.0,0.0,0,1
blue,-10.217519490000011,55.47120608000001,0.0,0.0,0.0,0.0,0,1
blue,-13.848759730000008,56.329545919999994,0.0,0.0,0.0,0.0,0,1
blue,-17.692705040000003,56.820903339999994,0.0,0.0,0.0,0.0,0,1
blue,-21.63417965000001,57.12622561,0.0,0.0,0.0,0.0,0,1
blue,-25.61308102,57.34096193000001,0.0,0.0,0.0,0.0,0,1
blue,-29.601865200000002,57.560659199999996,0.0,0.0,0.0,0.0,0,1
blue,-33.57316891000001,57.771469750000016,0.0,0.0,0.0,0.0,0,1
blue,-37.49448727000001,57.85009279000001,0.0,0.0,0.0,0.0,0,1
blue,-41.31494869000001,57.648383810000006,0.0,0.0,0.0,0.0,0,1
blue,-44.79101070000001,56.90067873000002,0.0,0.0,0.0,0.0,0,1
blue,-47.30775143000001,55.12735842,0.0,0.0,0.0,0.0,0,1
blue,-48.84539547000001,52.277309589999994,0.0,0.0,0.0,0.0,0,1
blue,-49.29563229000001,48.86244631,0.0,0.0,0.0,0.0,0,1
blue,-48.82366207000001,45.29788576000001,0.0,0.0,0.0,0.0,0,1
blue,-47.63391354000001,41.79543458999999,0.0,0.0,0.0,0.0,0,1
blue,-46.038269000000014,38.170864279999996,0.0,0.0,0.0,0.0,0,1
blue,-44.35952633000001,34.52655275,0.0,0.0,0.0,0.0,0,1
blue,-42.71030025000001,30.812226579999997,0.0,0.0,0.0,0.0,0,1
blue,-41.214453090000006,26.981709000000006,0.0,0.0,0.0,0.0,0,1
blue,-40.09989742000001,22.776250020000003,0.0,0.0,0.0,0.0,0,1
blue,-40.55600582000001,18.038198260000005,0.0,0.0,0.0,0.0,0,1
blue,-42.854428670000004,14.03244631,0.0,0.0,0.0,0.0,0,1
blue,-46.68343990000001,11.196279320000013,0.0,0.0,0.0,0.0,0,1
blue,-51.52066891000001,10.581489280000003,0.0,0.0,0.0,0.0,0,1
blue,-55.77983395000001,12.091132830000003,0.0,0.0,0.0,0.0,0,1
blue,-59.41199215,14.224277360000006,0.0,0.0,0.0,0.0,0,1
blue,-62.78681026000001,16.621777360000006,0.0,0.0,0.0,0.0,0,1
blue,-65.98120479,19.25854982000001,0.0,0.0,0.0,0.0,0,1
blue,-68.97779781000001,22.18833986000001,0.0,0.0,0.0,0.0,0,1
blue,-71.64283443000001,25.607568380000014,0.0,0.0,0.0,0.0,0,1
blue,-73.14175350000001,30.15198244000001,0.0,0.0,0.0,0.0,0,1
blue,-72.52331356,34.652802750000006,0.0,0.0,0.0,0.0,0,1
blue,-71.15617428000002,38.59126467,0.0,0.0,0.0,0.0,0,1
blue,-69.84588131000001,42.245317400000005,0.0,0.0,0.0,0.0,0,1
blue,-69.32955074,45.555698260000014,0.0,0.0,0.0,0.0,0,1
blue,-70.11632687000001,49.03274904000001,0.0,0.0,0.0,0.0,0,1
blue,-71.50386532,52.50501467000001,0.0,0.0,0.0,0.0,0,1
blue,-73.39823727000001,55.66049318000002,0.0,0.0,0.0,0.0,0,1
blue,-75.78222408,58.059018580000014,0.0,0.0,0.0,0.0,0,1
blue,-78.61251552,58.87919436,0.0,0.0,0.0,0.0,0,1
blue,-82.15970432,58.46876467,0.0,0.0,0.0,0.0,0,1
blue,-85.74565029000001,57.37288576,0.0,0.0,0.0,0.0,0,1
blue,-89.15325436,55.78975100000001,0.0,0.0,0.0,0.0,0,1
