cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,-1.8502148000000027,9.209750999999997,0.0,0.0,0.0,0.0,0,1
blue,-1.5083837500000064,12.960351580000001,0.0,0.0,0.0,0.0,0,1
blue,-1.0126269100000076,16.637739279999998,0.0,0.0,0.0,0.0,0,1
blue,-0.5046630500000037,20.266030289999996,0.0,0.0,0.0,0.0,0,1
blue,-0.011118120000004653,23.89115725,0.0,0.0,0.0,0.0,0,1
blue,0.44843265999999626,27.516792009999996,0.0,0.0,0.0,0.0,0,1
blue,0.8523096099999937,31.126513690000003,0.0,0.0,0.0,0.0,0,1
blue,1.1735693799999916,34.70202639000001,0.0,0.0,0.0,0.0,0,1
blue,1.3733545300000027,38.290258810000005,0.0,0.0,0.0,0.0,0,1
blue,1.358501019999994,41.7937842,0.0,0.0,0.0,0.0,0,1
blue,0.8809033599999935,45.090141620000004,0.0,0.0,0.0,0.0,0,1
blue,-0.06953609000001096,48.43366701,0.0,0.0,0.0,0.0,0,1
blue,-1.3854931200000036,51.43639162,0.0,0.0,0.0,0.0,0,1
blue,-3.379711880000013,53.85273928,0.0,0.0,0.0,0.0,0,1
blue,-5.912050740000009,55.97492678,0.0,0.0,0.0,0.0,0,1
blue,-8.720141559999998,57.09106936,0.0,0.0,0.0,0.0,0,1
blue,-12.00279781,57.41890139000001,0.0,0.0,0.0,0.0,0,1
blue,-15.356967730000004,57.19666506000001,0.0,0.0,0.0,0.0,0,1
blue,-18.82396969000001,56.539799820000006,0.0,0.0,0.0,0.0,0,1
blue,-22.340068320000004,55.71129397000001,0.0,0.0,0.0,0.0,0,1
blue,-25.912519490000005,54.83723147,0.0,0.0,0.0,0.0,0,1
blue,-29.600478480000003,54.087006859999995,0.0,0.0,0.0,0.0,0,1
blue,-33.29333004000001,53.6068799,0.0,0.0,0.0,0.0,0,1
blue,-36.54787594000001,53.009272480000014,0.0,0.0,0.0,0.0,0,1
blue,-38.984565390000014,51.57020022,0.0,0.0,0.0,0.0,0,1
blue,-41.06185787000001,48.99052248000002,0.0,0.0,0.0,0.0,0,1
blue,-43.20917477000001,46.09599123000002,0.0,0.0,0.0,0.0,0,1
blue,-44.35771725000001,43.42114748000001,0.0,0.0,0.0,0.0,0,1
blue,-44.108813440000006,40.41282716999999,0.0,0.0,0.0,0.0,0,1
blue,-43.855822710000005,36.2818799,0.0,0.0,0.0,0.0,0,1
blue,-45.43077145000001,32.22476076,0.0,0.0,0.0,0.0,0,1
blue,-47.70809811000001,29.05670900000001,0.0,0.0,0.0,0.0,0,1
blue,-50.26424068000001,26.226132830000008,0.0,0.0,0.0,0.0,0,1
blue,-53.39069332000001,23.61216799,0.0,0.0,0.0,0.0,0,1
blue,-56.82501705000001,21.92112795000001,0.0,0.0,0.0,0.0,0,1
blue,-59.38850338,20.33644045000001,0.0,0.0,0.0,0.0,0,1
blue,-60.73526119,17.83190920000001,0.0,0.0,0.0,0.0,0,1
blue,-61.45893429000001,14.63942385000001,0.0,0.0,0.0,0.0,0,1
blue,-61.47711910000001,11.435170920000008,0.0,0.0,0.0,0.0,0,1
blue,-60.543015100000005,8.492182640000006,0.0,0.0,0.0,0.0,0,1
blue,-58.83462643000001,5.670493180000012,0.0,0.0,0.0,0.0,0,1
blue,-56.67489254,3.4265332200000067,0.0,0.0,0.0,0.0,0,1
blue,-54.05189693000001,2.37487307000001,0.0,0.0,0.0,0.0,0,1
blue,-51.12967770000001,2.4415576400000094,0.0,0.0,0.0,0.0,0,1
blue,-47.67082027000001,3.5332666200000094,0.0,0.0,0.0,0.0,0,1
blue,-43.67240230000001,4.041147480000002,0.0,0.0,0.0,0.0,0,1
blue,-39.54525387000001,3.693740250000007,0.0,0.0,0.0,0.0,0,1
blue,-35.823276330000006,0.9611816600000105,0.0,0.0,0.0,0.0,0,1
blue,-33.561616170000015,-2.7137109199999947,0.0,0.0,0.0,0.0,0,1
blue,-33.51155270000001,-7.088701149999997,0.0,0.0,0.0,0.0,0,1
blue,-33.91852047000001,-10.611757789999997,0.0,0.0,0.0,0.0,0,1
blue,-34.13880855000001,-14.468095679999996,0.0,0.0,0.0,0.0,0,1
blue,-35.49497066000001,-18.28375974999999,0.0,0.0,0.0,0.0,0,1
blue,-38.19199703000001,-21.68541013999999,0.0,0.0,0.0,0.0,0,1
blue,-41.03287105000001,-24.066252419999994,0.0,0.0,0.0,0.0,0,1
blue,-43.593478960000006,-26.403104229999993,0.0,0.0,0.0,0.0,0,1
blue,-45.586984820000005,-28.951101049999995,0.0,0.0,0.0,0.0,0,1
blue,-46.657883260000006,-31.751779759999994,0.0,0.0,0.0,0.0,0,1
blue,-46.62312252000001,-34.797446269999995,0.0,0.0,0.0,0.0,0,1
