cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,2.5,0.0,0.0,0.0,0.0,0.0,0,1
blue,2.5,3.75,0.0,0.0,0.0,0.0,0,1
blue,2.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,2.5,11.25,0.0,0.0,0.0,0.0,0,1
blue,2.5,15.0,0.0,0.0,0.0,0.0,0,1
blue,2.5,18.75,0.0,0.0,0.0,0.0,0,1
blue,2.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,2.5,26.25,0.0,0.0,0.0,0.0,0,1
blue,2.5,30.0,0.0,0.0,0.0,0.0,0,1
blue,1.1602540378443873,35.0,0.0,0.0,0.0,0.0,0,1
blue,-2.499999999999999,38.66025403784438,0.0,0.0,0.0,0.0,0,1
blue,-7.499999999999999,40.0,0.0,0.0,0.0,0.0,0,1
blue,-12.499999999999998,38.66025403784439,0.0,0.0,0.0,0.0,0,1
blue,-16.160254037844386,35.0,0.0,0.0,0.0,0.0,0,1
blue,-17.5,30.0,0.0,0.0,0.0,0.0,0,1
blue,-17.5,26.25,0.0,0.0,0.0,0.0,0,1
blue,-17.5,22.5,0.0,0.0,0.0,0.0,0,1
blue,-17.5,18.75,0.0,0.0,0.0,0.0,0,1
blue,-17.5,15.0,0.0,0.0,0.0,0.0,0,1
blue,-17.5,11.25,0.0,0.0,0.0,0.0,0,1
blue,-17.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,-17.5,3.75,0.0,0.0,0.0,0.0,0,1
blue,-17.5,0.0,0.0,0.0,0.0,0.0,0,1
yellow,-2.5,0.0,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,3.75,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,11.25,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,15.0,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,18.75,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,26.25,0.0,0.0,0.0,0.0,1,0
yellow,-2.5,30.0,0.0,0.0,0.0,0.0,1,0
yellow,-3.1698729810778064,32.5,0.0,0.0,0.0,0.0,1,0
yellow,-5.0,34.33012701892219,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,35.0,0.0,0.0,0.0,0.0,1,0
yellow,-10.0,34.33012701892219,0.0,0.0,0.0,0.0,1,0
yellow,-11.830127018922193,32.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,30.0,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,26.25,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,22.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,18.75,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,15.0,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,11.25,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,3.75,0.0,0.0,0.0,0.0,1,0
yellow,-12.5,0.0,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,4.75,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,5.25,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,4.75,0.0,0.0,0.0,0.0,0,1
big_orange,-1.5,5.25,0.0,0.0,0.0,0.0,0,1
