cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,-1.5,-1.5,0.0,0.0,0.0,0.0,0,1
blue,-1.5,1.5,0.0,0.0,0.0,0.0,0,1
blue,-1.5,4.5,0.0,0.0,0.0,0.0,0,1
blue,-1.5,7.5,0.0,0.0,0.0,0.0,0,1
blue,-1.5,10.5,0.0,0.0,0.0,0.0,0,1
blue,-1.5,10.5,0.0,0.0,0.0,0.0,0,1
blue,9.184850993605148e-17,12.0,0.0,0.0,0.0,0.0,0,1
blue,9.184850993605148e-17,12.0,0.0,0.0,0.0,0.0,0,1
blue,1.5,13.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,13.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,17.25,0.0,0.0,0.0,0.0,0,1
blue,1.5,21.0,0.0,0.0,0.0,0.0,0,1
blue,-10.5,9.0,0.0,0.0,0.0,0.0,0,1
blue,-10.5,5.5,0.0,0.0,0.0,0.0,0,1
blue,-10.5,2.0,0.0,0.0,0.0,0.0,0,1
blue,-10.5,-1.5,0.0,0.0,0.0,0.0,0,1
blue,-7.5,-4.5,0.0,0.0,0.0,0.0,0,1
blue,1.5,21.0,0.0,0.0,0.0,0.0,0,1
blue,9.184850993605148e-17,22.5,0.0,0.0,0.0,0.0,0,1
blue,-1.5,21.0,0.0,0.0,0.0,0.0,0,1
blue,-7.5,12.0,0.0,0.0,0.0,0.0,0,1
blue,-9.621320343559642,11.121320343559642,0.0,0.0,0.0,0.0,0,1
blue,-10.5,9.0,0.0,0.0,0.0,0.0,0,1
blue,-7.5,12.0,0.0,0.0,0.0,0.0,0,1
blue,-4.500000000000001,12.803847577293368,0.0,0.0,0.0,0.0,0,1
blue,-2.303847577293368,15.0,0.0,0.0,0.0,0.0,0,1
blue,-1.5,18.0,0.0,0.0,0.0,0.0,0,1
blue,-10.5,-1.5000000000000004,0.0,0.0,0.0,0.0,0,1
blue,-9.621320343559642,-3.621320343559643,0.0,0.0,0.0,0.0,0,1
blue,-7.5,-4.5,0.0,0.0,0.0,0.0,0,1
blue,-4.5,-4.5,0.0,0.0,0.0,0.0,0,1
blue,-2.378679656440357,-3.6213203435596424,0.0,0.0,0.0,0.0,0,1
yellow,1.5,-1.5,0.0,0.0,0.0,0.0,1,0
yellow,1.5,1.5,0.0,0.0,0.0,0.0,1,0
yellow,1.5,4.5,0.0,0.0,0.0,0.0,1,0
yellow,1.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,1.5,7.5,0.0,0.0,0.0,0.0,1,0
yellow,3.0,9.0,0.0,0.0,0.0,0.0,1,0
yellow,2.9999999999999996,9.0,0.0,0.0,0.0,0.0,1,0
yellow,4.5,10.5,0.0,0.0,0.0,0.0,1,0
yellow,4.5,10.5,0.0,0.0,0.0,0.0,1,0
yellow,4.5,14.0,0.0,0.0,0.0,0.0,1,0
yellow,4.5,17.5,0.0,0.0,0.0,0.0,1,0
yellow,4.5,21.0,0.0,0.0,0.0,0.0,1,0
yellow,-4.5,21.0,0.0,0.0,0.0,0.0,1,0
yellow,-4.5,18.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,9.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,5.5,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,2.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,-1.5,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,-7.5,0.0,0.0,0.0,0.0,1,0
yellow,4.5,21.0,0.0,0.0,0.0,0.0,1,0
yellow,3.6405764746872635,23.64503363531613,0.0,0.0,0.0,0.0,1,0
yellow,1.3905764746872635,25.27975432332819,0.0,0.0,0.0,0.0,1,0
yellow,-1.390576474687263,25.27975432332819,0.0,0.0,0.0,0.0,1,0
yellow,-3.640576474687263,23.64503363531613,0.0,0.0,0.0,0.0,1,0
yellow,-4.5,21.0,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,15.0,0.0,0.0,0.0,0.0,1,0
yellow,-5.378679656440357,15.878679656440358,0.0,0.0,0.0,0.0,1,0
yellow,-4.5,18.0,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,15.0,0.0,0.0,0.0,0.0,1,0
yellow,-10.499999999999998,14.196152422706632,0.0,0.0,0.0,0.0,1,0
yellow,-12.696152422706632,12.000000000000002,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,9.0,0.0,0.0,0.0,0.0,1,0
yellow,-13.5,-1.5000000000000007,0.0,0.0,0.0,0.0,1,0
yellow,-12.696152422706632,-4.5,0.0,0.0,0.0,0.0,1,0
yellow,-10.500000000000002,-6.696152422706631,0.0,0.0,0.0,0.0,1,0
yellow,-7.5,-7.5,0.0,0.0,0.0,0.0,1,0
yellow,-4.5,-7.5,0.0,0.0,0.0,0.0,1,0
yellow,-1.5000000000000009,-6.696152422706632,0.0,0.0,0.0,0.0,1,0
yellow,0.696152422706632,-4.5,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,7.0,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,7.0,0.0,0.0,0.0,0.0,0,1
big_orange,1.5,8.0,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,8.0,0.0,0.0,0.0,0.0,0,1
